Date,Time,Open,High,Low,Close,Volume
2018.10.22,0:00,7061.62,7194.75,7039.75,7141.25,160755
2018.10.23,0:00,7137.4,7149.62,6928.78,7127,180625
2018.10.24,0:00,7120.88,7159.88,6773.62,6860.88,179766
2018.10.25,0:00,6863.12,7064.5,6802.38,6878,178475
2018.10.26,0:00,6865.12,6977.75,6724.25,6883.38,209238
2018.10.29,0:00,6867.5,6982.75,6571.75,6714.25,185796
2018.10.30,0:00,6706.38,6840.12,6652.75,6834.38,185245
2018.10.31,0:00,6855.3,7029.62,6806.68,6949.12,174150
2018.11.01,0:00,6948.38,7071.12,6927.38,7020.62,157736
2018.11.02,0:00,6968.62,7134.38,6907.38,6972.12,179381
2018.11.05,0:00,6965.25,6974.5,6937.38,6958,21586
2018.11.06,0:00,6918.25,7026.88,6899.62,7004.3,108799
2018.11.07,0:00,7001.42,7214.75,6962.8,7209.88,157549
2018.11.08,0:00,7202.7,7218.08,7122,7137.88,130259
2018.11.09,0:00,7133.28,7155.75,6980.38,7020.38,141830
2018.11.12,0:00,7015.75,7094.5,6817.12,6831.38,160665
2018.11.13,0:00,6837.62,6952,6792,6846,166252
2018.11.14,0:00,6849.25,6916.75,6733.88,6770.12,170462
2018.11.15,0:00,6769.2,6908.5,6700.12,6875.75,169594
2018.11.16,0:00,6861.12,6899,6794.38,6882.12,154612
2018.11.19,0:00,6859.65,6922.65,6621.28,6662.65,160040
2018.11.20,0:00,6652.82,6657.45,6438.2,6513.12,186326
2018.11.21,0:00,6516.58,6638.88,6498.2,6568.75,146583
2018.11.22,0:00,6571.12,6588.12,6497.75,6512.25,47423
2018.11.23,0:00,6515.24,6592.62,6486.75,6522,87484
2018.11.26,0:00,6531.12,6687.38,6521.62,6630.75,128495
2018.11.27,0:00,6633,6715.88,6605.75,6710.12,139147
2018.11.28,0:00,6717.7,6916.88,6702.08,6908.38,132238
2018.11.29,0:00,6902.39,6937.62,6837.88,6900,127822
2018.11.30,0:00,6899.38,6961.12,6866.25,6958.75,107079
2018.12.03,0:00,7050.5,7133.12,7011.5,7050.5,142173
2018.12.04,0:00,7049.65,7050.15,6777.75,6796.88,168451
2018.12.05,0:00,6790.88,6855.62,6786.25,6842.75,34879
2018.12.06,0:00,6826.64,6847.57,6624.11,6835.69,181820
2018.12.07,0:00,6832.44,6849.69,6589.57,6614.57,170527
2018.12.10,0:00,6584.81,6710.54,6531.91,6689.67,165086
2018.12.11,0:00,6690.67,6804.87,6646.74,6676.87,149285
2018.12.12,0:00,6679.99,6867.49,6679.99,6760.74,146276
2018.12.13,0:00,6766.94,6833.11,6719.49,6741.99,135249
2018.12.14,0:00,6744.37,6756.31,6582.74,6594.61,104179
2018.12.17,0:00,6573.49,6631.11,6398.24,6465.74,119033
2018.12.18,0:00,6465.11,6551.61,6431.24,6434.99,126773
2018.12.19,0:00,6433.49,6582.74,6277.99,6324.61,135995
2018.12.20,0:00,6326.24,6382.87,6159.49,6301.74,185690
2018.12.21,0:00,6295.99,6316.49,6008.61,6037.99,168818
2018.12.24,0:00,6070.99,6095.74,5868.37,5871.37,74471
2018.12.26,0:00,5886.74,6290.74,5802.37,6259.49,170558
2018.12.27,0:00,6269.31,6317.49,6039.61,6295.37,181803
2018.12.28,0:00,6300.07,6389.49,6230.87,6281.37,172258
2018.12.31,0:00,6304.41,6362.37,6269.11,6337.99,105405
2019.01.02,0:00,6335.87,6398.37,6141.74,6252.49,164137
2019.01.03,0:00,6219.69,6289.99,6137.11,6160.61,162372
2019.01.04,0:00,6159.37,6449.49,6125.37,6419.37,156682
2019.01.07,0:00,6435.99,6522.49,6386.49,6491.61,145401
2019.01.08,0:00,6492.24,6572.11,6454.49,6537.87,139223
2019.01.09,0:00,6538.39,6631.81,6534.27,6590.44,132008
2019.01.10,0:00,6584.69,6628.87,6514.91,6615.61,133183
2019.01.11,0:00,6613.24,6620.24,6560.11,6601.24,116560
2019.01.14,0:00,6587.24,6590.11,6510.87,6536.24,105996
2019.01.15,0:00,6534.87,6677.24,6531.99,6667.11,124306
2019.01.16,0:00,6665.99,6725.61,6651.37,6658.74,115221
2019.01.17,0:00,6656.61,6748.61,6599.61,6719.49,120063
2019.01.18,0:00,6712.87,6817.74,6700.61,6781.87,122261
2019.01.21,0:00,6777.87,6783.11,6731.37,6751.19,45636
2019.01.22,0:00,6743.49,6766.87,6601.74,6642.61,130282
2019.01.23,0:00,6640.74,6713.61,6582.37,6659.87,132994
2019.01.24,0:00,6654.49,6710.61,6643.61,6677.37,131330
2019.01.25,0:00,6676.11,6802.11,6669.49,6781.87,113259
2019.01.28,0:00,6774.37,6782.99,6641.99,6691.61,119799
2019.01.29,0:00,6689.49,6714.87,6609.37,6673.61,114020
2019.01.30,0:00,6686.87,6836.99,6649.61,6830.49,120790
2019.01.31,0:00,6844.24,6936.87,6832.11,6925.24,121308
2019.02.01,0:00,6899.11,6921.61,6855.11,6872.24,120165
2019.02.04,0:00,6857.87,6974.87,6852.74,6940.74,80707
2019.02.05,0:00,6933.39,7030.61,6924.89,7008.87,78815
2019.02.06,0:00,7008.99,7034.11,6968.49,6984.24,86787
2019.02.07,0:00,6983.11,6989.87,6852.07,6899.44,120751
2019.02.08,0:00,6894.61,6916.94,6834.31,6909.07,109901
2019.02.11,0:00,6916.69,6963.07,6889.57,6903.11,96718
2019.02.12,0:00,6902.37,7020.74,6897.24,7012.37,81163
2019.02.13,0:00,7009.87,7062.61,7004.91,7009.67,81754
2019.02.14,0:00,7008.57,7049.44,6964.31,7010.49,109252
2019.02.15,0:00,7012.49,7088.87,6969.61,7057.87,101487
2019.02.18,0:00,7057.99,7076.49,7049.61,7074.61,38405
2019.02.19,0:00,7073.37,7088.61,7029.37,7061.74,71720
2019.02.20,0:00,7058.61,7096.37,7023.87,7062.87,92491
2019.02.21,0:00,7059.99,7104.49,6999.11,7030.49,102507
2019.02.22,0:00,7022.11,7093.87,7012.87,7081.37,81652
2019.02.25,0:00,7101.87,7161.37,7094.61,7113.74,83744
2019.02.26,0:00,7115.24,7144.87,7066.37,7104.37,91142
2019.02.27,0:00,7103.07,7126.61,7043.11,7118.49,75175
2019.02.28,0:00,7114.74,7125.37,7065.61,7104.87,82780
2019.03.01,0:00,7101.37,7159.61,7093.37,7150.87,76230
2019.03.04,0:00,7173.74,7206.37,7069.61,7138.74,104499
2019.03.05,0:00,7138.99,7177.37,7119.87,7153.74,90666
2019.03.06,0:00,7148.24,7166.37,7101.87,7104.37,93167
2019.03.07,0:00,7102.79,7117.91,6999.99,7022.99,104102
2019.03.08,0:00,7023.24,7030.61,6936.11,7024.11,90996
2019.03.11,0:00,7019.87,7173.99,6999.11,7169.74,69031
2019.03.12,0:00,7167.99,7220.61,7159.24,7209.37,80749
2019.03.13,0:00,7208.61,7293.11,7181.11,7269.99,80639
2019.03.14,0:00,7269.57,7287.81,7236.11,7240.87,84507
2019.03.15,0:00,7242.87,7330.87,7239.87,7313.37,81063
2019.03.18,0:00,7308.87,7348.87,7291.24,7333.49,71295
2019.03.19,0:00,7332.39,7391.11,7321.11,7348.74,83397
2019.03.20,0:00,7346.74,7424.11,7316.99,7366.37,103363
2019.03.21,0:00,7370.37,7509.61,7335.61,7498.61,102109
2019.03.22,0:00,7496.37,7513.61,7321.61,7337.11,148966
2019.03.25,0:00,7342.11,7358.37,7258.11,7331.61,149367
2019.03.26,0:00,7328.11,7417.37,7311.61,7354.49,109938
2019.03.27,0:00,7352.87,7376.11,7248.49,7294.87,124102
2019.03.28,0:00,7295.24,7344.37,7261.11,7328.99,119855
2019.03.29,0:00,7328.61,7385.11,7324.24,7384.74,92536
2019.04.01,0:00,7403.11,7480.87,7403.11,7471.87,96687
2019.04.02,0:00,7468.04,7506.57,7457.41,7489.69,71328
2019.04.03,0:00,7490.57,7589.61,7487.31,7554.37,88908
2019.04.04,0:00,7554.99,7570.37,7494.74,7534.87,84549
2019.04.05,0:00,7535.11,7581.87,7528.61,7578.61,70126
2019.04.08,0:00,7581.11,7603.61,7534.87,7600.11,67191
2019.04.09,0:00,7599.49,7606.74,7554.37,7564.11,69153
2019.04.10,0:00,7565.87,7620.61,7551.37,7619.49,67357
2019.04.11,0:00,7618.61,7635.87,7578.74,7595.99,69636
2019.04.12,0:00,7593.49,7642.37,7587.87,7628.87,62657
2019.04.15,0:00,7630.74,7636.49,7575.87,7627.11,53512
2019.04.16,0:00,7627.61,7671.24,7625.99,7653.11,61529
2019.04.17,0:00,7653.87,7710.87,7645.61,7665.87,72536
2019.04.18,0:00,7668.37,7702.11,7639.61,7694.49,74746
2019.04.22,0:00,7694.24,7725.74,7650.24,7719.61,55432
2019.04.23,0:00,7718.49,7822.87,7705.49,7811.87,62572
2019.04.24,0:00,7812.24,7831.91,7781.67,7818.29,68909
2019.04.25,0:00,7837.79,7859.67,7775.74,7779.49,79054
2019.04.26,0:00,7781.37,7827.37,7739.37,7824.11,83795
2019.04.29,0:00,7819.87,7851.61,7789.49,7790.11,60002
2019.04.30,0:00,7788.11,7840.24,7724.11,7835.11,76881
2019.05.01,0:00,7832.61,7852.11,7720.61,7722.61,87358
2019.05.02,0:00,7720.74,7791.87,7669.61,7725.87,106250
2019.05.03,0:00,7721.49,7852.24,7721.37,7851.74,69136
2019.05.06,0:00,7796.49,7803.87,7653.49,7795.11,141953
2019.05.07,0:00,7734.87,7790.87,7570.37,7659.11,160594
2019.05.08,0:00,7656.99,7686.87,7591.24,7630.87,132018
2019.05.09,0:00,7627.11,7633.11,7470.24,7582.37,156637
2019.05.10,0:00,7578.24,7641.49,7424.11,7597.49,185016
2019.05.13,0:00,7516.99,7539.11,7293.74,7302.37,175506
2019.05.14,0:00,7297.74,7449.11,7280.24,7414.87,135546
2019.05.15,0:00,7414.99,7526.11,7341.37,7514.49,117882
2019.05.16,0:00,7511.37,7627.11,7460.49,7588.61,127708
2019.05.17,0:00,7585.11,7606.37,7492.74,7497.37,154785
2019.05.20,0:00,7501.99,7545.61,7348.61,7393.74,160468
2019.05.21,0:00,7396.37,7473.11,7388.87,7449.61,109521
2019.05.22,0:00,7450.74,7462.74,7379.87,7414.24,109694
2019.05.23,0:00,7417.49,7422.24,7256.61,7304.61,140833
2019.05.24,0:00,7305.11,7369.99,7292.11,7307.11,108925
2019.05.27,0:00,7308.87,7330.11,7284.61,7310.37,40542
2019.05.28,0:00,7304.99,7363.99,7272.37,7282.87,122868
2019.05.29,0:00,7281.61,7286.99,7175.37,7206.74,143033
2019.05.30,0:00,7205.74,7263.87,7199.61,7246.99,110587
2019.05.31,0:00,7243.99,7249.11,7122.87,7128.49,142675
2019.06.03,0:00,7099.11,7126.11,6935.37,7001.99,169739
2019.06.04,0:00,7002.61,7180.37,6975.74,7180.37,124019
2019.06.05,0:00,7184.99,7239.61,7143.87,7223.87,124836
2019.06.06,0:00,7196.99,7293.61,7173.61,7257.87,115748
2019.06.07,0:00,7257.61,7446.37,7252.49,7414.37,107764
2019.06.10,0:00,7466.37,7573.37,7424.99,7513.37,105346
2019.06.11,0:00,7514.49,7595.61,7487.49,7512.87,110752
2019.06.12,0:00,7512.24,7525.24,7456.61,7471.49,102551
2019.06.13,0:00,7470.49,7530.87,7416.37,7505.87,113595
2019.06.14,0:00,7495.24,7516.37,7447.61,7473.37,84300
2019.06.17,0:00,7479.11,7547.37,7476.49,7537.37,71051
2019.06.18,0:00,7539.24,7690.11,7512.11,7640.37,105131
2019.06.19,0:00,7643.49,7681.61,7600.87,7665.99,91708
